en,uk
Instructions,Інструкції
Overview,Опис
"Additional info","Додаткова інформація"
Objective,Завдання
Instructions,Інструкції
Overview,Опис
"Additional info","Додаткова інформація"
`DataSet`,`DataSet`
`DataEntry`,`DataEntry`
`Keys`,`Keys`
Term,Термін
Meaning,Значення
"The `DataSet` is a list a `DataEntry` entities with all of its elements with
the same set of keys.","`DataSet` — це список сутностей `DataEntry`, що мають однаковий набір ключів."
"As example:","Як приклад:"
"A list of `DataEntries`, all keys are the same","Список `DataEntries`, усі ключі однакові"
"A dictionary with all `str` keys and `Hashable` values","Словник з усіма ключами `str` і значеннями `Hashable`"
"A list of valid keys for `DataEntry` dictionary","Список валідних ключів для словника `DataEntry`"
"The `DataEntry` is a simple dictionary with rules applied as follows:","`DataEntry` - це простий словник із такими правилами:"
"the dictionary keys are of `str` type","ключі словника мають тип `str`"
"the dictionary values are of `Hashable` type","значення словника мають тип `Hashable`"
[Dictionary](https://docs.python.org/3/glossary.html#term-dictionary),[Dictionary](https://docs.python.org/3/glossary.html#term-dictionary)
[Hashable](https://docs.python.org/3/glossary.html#term-hashable),[Hashable](https://docs.python.org/3/glossary.html#term-hashable)
"[Dictionary class](https://docs.python.org/3/library/stdtypes.html#dict)","[Dictionary class](https://docs.python.org/3/library/stdtypes.html#dict)"
Objective,Завдання
Requirements,Вимоги
"Empty dataset","Порожній набір даних"
"If `DataSet` is an empty list - return empty list.","Якщо `DataSet` є порожнім списком - повертає порожній список."
"No filtering keys","Немає ключів для фільтрації"
"If `Keys` is an empty list or hasn't been provided - use all available keys
for filtering data.","Якщо `Ключі` є порожнім списком або не були надані, використовуйте всі доступні ключі
для фільтрації даних."
"Filtering by a single key","Фільтрування одним ключем"
"Filtering by a set of keys","Фільтрація за набором ключів"
"No duplicates in specified keys together allowed.","Не допускаються повторення значень разом в указаних ключах."
"Run unit tests","Запуск тестів"
![](./assets/tests-passed.png),![](../../.lesson/assets/tests-passed.png)
"In the **Tools** section press **Tests** button.","У розділі **Tools** натисніть кнопку **Tests**."
"This will open a tab with all available tests for the assignment.","Відкриється вкладка з усіма доступними тестами для завдання."
"Pressing **Run tests** button will run tests.","Натискання кнопки **Запустити тести** запускає тести."
"The results will be displayed in the **Console** tab.","Результати відображатимуться у вкладці **Консоль**."
"No duplicates in a specified key allowed.","У вказаному ключі дублікати не допускаються."
"The function should return a new list object.","Функція має повернути новий список."
"Original data","Вхідні дані"
"Original data should not be modified while processing.","Вхідні дані не повинні бути змінені під час обробки."
"Your task is to create a function, that performs a dataset filtering by unique
values.","Ваше завдання — створити функцію, яка виконує фільтрацію набору даних за унікальними значеннями."
"Only values in a given set of keys should be applied for filtering.","Для фільтрації слід застосовувати лише значення в заданому наборі ключів."
"The `DataSet` is the only required argument, if case there is no `Keys` to
filter provided - all available keys will be used.","`DataSet` є єдиним обов’язковим аргументом, якщо не надано фільтр `Keys`,
будуть використані всі доступні ключі."
